ihs_pos	ihs_std_score	ihs_abs_score	relate_pos	relate_score	distance	n_relate_nearby
11988324	3.75185	3.75185	11963486	5.01543	24838	1
35021188	-4.12583	4.12583	35025563	5.17768	4375	1
35517460	-4.46698	4.46698	35509359	6.19175	8101	3
35536471	4.03501	4.03501	35509359	6.19175	27112	3
35537174	4.03719	4.03719	35509359	6.19175	27815	3
35537249	-4.07869	4.07869	35509359	6.19175	27890	3
35537643	-4.67664	4.67664	35509359	6.19175	28284	3
35538611	-3.95643	3.95643	35509359	6.19175	29252	3
35541388	3.95793	3.95793	35509359	6.19175	32029	3
35542881	-3.9902	3.9902	35509359	6.19175	33522	3
35543063	4.30473	4.30473	35509359	6.19175	33704	3
41464148	3.61015	3.61015	41475313	5.01543	11165	1
41465716	3.51324	3.51324	41475313	5.01543	9597	1
46344232	5.78594	5.78594	46300826	5.18882	43406	2
46344552	-5.36535	5.36535	46300826	5.18882	43726	2
46346626	-4.99577	4.99577	46300826	5.18882	45800	2
46347440	-4.63222	4.63222	46300826	5.18882	46614	2
46347811	-4.65747	4.65747	46300826	5.18882	46985	2
46347923	5.14985	5.14985	46300826	5.18882	47097	2
46348889	-4.67807	4.67807	46300826	5.18882	48063	2
46350083	-4.93579	4.93579	46300826	5.18882	49257	2
46350224	5.49979	5.49979	46300826	5.18882	49398	2
78608079	4.4034	4.4034	78587778	5.21232	20301	1
78608562	-4.51875	4.51875	78587778	5.21232	20784	1
78612109	3.90894	3.90894	78587778	5.21232	24331	1
82154567	-3.5048	3.5048	82193821	5.40987	39254	5
82164517	-3.72162	3.72162	82193821	5.40987	29304	5
82167219	-4.00994	4.00994	82193821	5.40987	26602	5
97776641	-5.11939	5.11939	97806661	6.61031	30020	2
97778009	-5.67064	5.67064	97806661	6.61031	28652	2
97778139	3.4825	3.4825	97806661	6.61031	28522	2
97871466	-3.99037	3.99037	97833845	5.56755	37621	1
109769008	-3.56042	3.56042	109804498	5.14577	35490	1
110060266	-3.94332	3.94332	110107134	5.64901	46868	1
110064994	3.39736	3.39736	110107134	5.64901	42140	1
110069545	-3.85797	3.85797	110107134	5.64901	37589	1
116743704	-3.75537	3.75537	116732644	5.71756	11060	2
116743826	-3.77032	3.77032	116732644	5.71756	11182	2
116744856	3.79092	3.79092	116732644	5.71756	12212	2
116745201	-3.80703	3.80703	116732644	5.71756	12557	2
116746034	-4.52204	4.52204	116732644	5.71756	13390	2
116746747	-4.83972	4.83972	116732644	5.71756	14103	2
116747844	-3.72479	3.72479	116732644	5.71756	15200	2
116748166	-4.8026	4.8026	116732644	5.71756	15522	2
116749210	-3.91498	3.91498	116732644	5.71756	16566	2
116749505	-3.8344	3.8344	116732644	5.71756	16861	2
116750012	-5.17497	5.17497	116732644	5.71756	17368	2
116750788	-5.17497	5.17497	116732644	5.71756	18144	2
116752849	-3.63834	3.63834	116732644	5.71756	20205	2
116753366	-4.87538	4.87538	116732644	5.71756	20722	2
116756320	-5.35497	5.35497	116732644	5.71756	23676	2
116756699	-5.35129	5.35129	116732644	5.71756	24055	2
116757298	5.43378	5.43378	116732644	5.71756	24654	2
136100442	4.03801	4.03801	136056990	5.24877	43452	3
136100573	-3.80195	3.80195	136056990	5.24877	43583	3
136100850	-3.98063	3.98063	136056990	5.24877	43860	3
136102465	-4.42928	4.42928	136056990	5.24877	45475	3
136102515	4.82667	4.82667	136056990	5.24877	45525	3
